case,mean_luma,p95_luma,clip_fraction,min_value,max_value,pipeline_ms
global,0.40059760212898254,0.6239640712738037,0.0,0.012470688670873642,0.8664254546165466,36.18329996243119
lut,0.4005832076072693,0.6241207718849182,0.0,0.012546147219836712,0.8663772344589233,25.73110000230372
local,0.40061765909194946,0.6240645051002502,0.0,0.012554680928587914,0.8685519099235535,103.1710000243038
hdr local,0.3981715440750122,0.6190696954727173,0.0,0.0,0.7148208618164062,104.7429998870939
