id,run,preprocess_ms,inference_ms,postprocess_ms,compute_e2e_ms,save_ms_once,e2e_with_save_once_ms,warmup,runs
pair_00001,0,9.885599953122437,233.29980007838458,6.3584999879822135,249.54390001948923,109.88479992374778,359.428699943237,3,5
pair_00001,1,11.407600017264485,233.13840001355857,5.258099990896881,249.80410002171993,109.88479992374778,359.6888999454677,3,5
pair_00001,2,9.162799920886755,235.89210002683103,5.0382999470457435,250.09319989476353,109.88479992374778,359.9779998185113,3,5
pair_00001,3,8.955199969932437,346.64690005593,5.368200014345348,360.9703000402078,109.88479992374778,470.8550999639556,3,5
pair_00001,4,9.597099968232214,250.31929998658597,5.854799994267523,265.7711999490857,109.88479992374778,375.6559998728335,3,5
pair_00002,0,12.887799995951355,265.31529997009784,6.656199926510453,284.85929989255965,67.5141999963671,352.37349988892674,3,5
pair_00002,1,73.8497000420466,232.86839993670583,5.82720001693815,312.5452999956906,67.5141999963671,380.0594999920577,3,5
pair_00002,2,12.433000025339425,285.4861000087112,4.931399947963655,302.8504999820143,67.5141999963671,370.3646999783814,3,5
pair_00002,3,12.82159995753318,198.14550003502518,5.124800023622811,216.09190001618117,67.5141999963671,283.60610001254827,3,5
pair_00002,4,59.309500036761165,254.21519996598363,5.035500042140484,318.5602000448853,67.5141999963671,386.0744000412524,3,5
pair_00003,0,11.206199997104704,165.27960007078946,5.619099945761263,182.10490001365542,98.39359996840358,280.498499982059,3,5
pair_00003,1,9.822699939832091,174.92540006060153,5.119799985550344,189.86789998598397,98.39359996840358,288.26149995438755,3,5
pair_00003,2,42.14059992227703,204.29770008195192,6.551999947987497,252.99029995221645,98.39359996840358,351.38389992062,3,5
pair_00003,3,42.92369994800538,222.77740004938096,4.905299982056022,270.60639997944236,98.39359996840358,368.99999994784594,3,5
pair_00003,4,11.559000005945563,254.28390002343804,4.9415999092161655,270.78449993859977,98.39359996840358,369.17809990700334,3,5
pair_00004,0,26.832400006242096,157.7875999500975,19.857500097714365,204.47750005405396,41.94509994704276,246.42260000109673,3,5
pair_00004,1,10.435800068080425,123.68219997733831,6.802499992772937,140.92050003819168,41.94509994704276,182.86559998523444,3,5
pair_00004,2,9.66450001578778,131.48219999857247,5.716299987398088,146.86300000175834,41.94509994704276,188.8080999488011,3,5
pair_00004,3,10.569000034593046,128.88199998997152,5.5556000443175435,145.0066000688821,41.94509994704276,186.95170001592487,3,5
pair_00004,4,11.274700053036213,122.61399999260902,8.212200016714633,142.10090006235987,41.94509994704276,184.04600000940263,3,5
pair_00005,0,21.115300012752414,138.00849998369813,6.840600050054491,165.96440004650503,47.143699950538576,213.1080999970436,3,5
pair_00005,1,11.348800035193563,88.71000004000962,5.895099951885641,105.95390002708882,47.143699950538576,153.0975999776274,3,5
pair_00005,2,9.84369998332113,86.67940006125718,5.055299960076809,101.57840000465512,47.143699950538576,148.7220999551937,3,5
pair_00005,3,8.451599976979196,114.92999992333353,5.391100072301924,128.77269997261465,47.143699950538576,175.91639992315322,3,5
pair_00005,4,11.360200005583465,101.41319991089404,7.415200001560152,120.18859991803765,47.143699950538576,167.33229986857623,3,5
pair_00006,0,10.153200011700392,118.41170000843704,8.101899991743267,136.6668000118807,37.44119999464601,174.1080000065267,3,5
pair_00006,1,8.80670000333339,111.71720002312213,5.80929999705404,126.33320002350956,37.44119999464601,163.77440001815557,3,5
pair_00006,2,12.105399975553155,159.0495000127703,6.499200011603534,177.65409999992698,37.44119999464601,215.095299994573,3,5
pair_00006,3,9.485599934123456,85.51740006078035,6.953199976123869,101.95619997102767,37.44119999464601,139.39739996567369,3,5
pair_00006,4,12.981199892237782,117.17350000981241,6.004400085657835,136.15909998770803,37.44119999464601,173.60029998235404,3,5
pair_00007,0,8.73710005544126,133.76399991102517,5.1382000092417,147.63929997570813,50.51310011185706,198.15240008756518,3,5
pair_00007,1,10.56229998357594,150.77850001398474,12.42030004505068,173.76110004261136,50.51310011185706,224.27420015446842,3,5
pair_00007,2,38.77460001967847,134.03449999168515,21.23020007275045,194.03930008411407,50.51310011185706,244.55240019597113,3,5
pair_00007,3,9.373000008054078,150.984900072217,4.826699965633452,165.18460004590452,50.51310011185706,215.69770015776157,3,5
pair_00007,4,8.90160002745688,143.06679996661842,6.8648000014945865,158.83319999556988,50.51310011185706,209.34630010742694,3,5
pair_00008,0,8.939800085499883,184.42700000014156,6.550199934281409,199.91700001992285,32.67979994416237,232.59679996408522,3,5
pair_00008,1,9.231499978341162,209.72769998479635,7.151299971155822,226.11049993429333,32.67979994416237,258.7902998784557,3,5
pair_00008,2,31.25130000989884,165.57329997885972,6.175599992275238,203.0001999810338,32.67979994416237,235.67999992519617,3,5
pair_00008,3,10.83799998741597,142.51040003728122,8.722499944269657,162.07089996896684,32.67979994416237,194.7506999131292,3,5
pair_00008,4,18.526399973779917,139.37420002184808,5.511599942110479,163.41219993773848,32.67979994416237,196.09199988190085,3,5
pair_00009,0,16.685200040228665,172.00149991549551,5.566500010900199,194.25319996662438,27.51919999718666,221.77239996381104,3,5
pair_00009,1,12.610499979928136,144.10230005159974,7.5647999765351415,164.27760000806302,27.51919999718666,191.79680000524968,3,5
pair_00009,2,12.309600017033517,105.32109998166561,6.3726999796926975,124.00339997839183,27.51919999718666,151.5225999755785,3,5
pair_00009,3,9.246499976143241,90.84800002165139,4.972599912434816,105.06709991022944,27.51919999718666,132.5862999074161,3,5
pair_00009,4,11.061000055633485,138.44099990092218,5.148500087670982,154.65050004422665,27.51919999718666,182.1697000414133,3,5
pair_00010,0,11.578100034967065,127.28240003343672,7.527099922299385,146.38759999070317,33.64860010333359,180.03620009403676,3,5
pair_00010,1,10.570099926553667,160.63550009857863,6.269499892368913,177.4750999175012,33.64860010333359,211.1237000208348,3,5
pair_00010,2,9.380399947986007,129.27050003781915,20.286999992094934,158.9378999779001,33.64860010333359,192.58650008123368,3,5
pair_00010,3,9.922500001266599,198.77030001953244,10.630700038746,219.32350005954504,33.64860010333359,252.97210016287863,3,5
pair_00010,4,11.154199950397015,167.60799998883158,5.679400055669248,184.44159999489784,33.64860010333359,218.09020009823143,3,5
pair_00011,0,9.15639998856932,143.93539994489402,17.456899979151785,170.54869991261512,40.58010003063828,211.1287999432534,3,5
pair_00011,1,9.126299992203712,147.352600004524,8.097899961285293,164.576799958013,40.58010003063828,205.15689998865128,3,5
pair_00011,2,8.00499995239079,133.99990007746965,6.637300015427172,148.6422000452876,40.58010003063828,189.2223000759259,3,5
pair_00011,3,10.844200034625828,121.61489995196462,16.720400075428188,149.17950006201863,40.58010003063828,189.7596000926569,3,5
pair_00011,4,11.179699911735952,166.43320000730455,5.245800013653934,182.85869993269444,40.58010003063828,223.4387999633327,3,5
