id,split,fp32_psnr,int8_psnr,psnr_drop,fp32_ssim,int8_ssim,ssim_drop,max_abs_error,mean_abs_error,rmse,alignment_psnr
pair_00011,evaluation,34.248384310544694,34.22039185504234,0.02799245550235696,0.9912246995174482,0.991184980872305,3.971864514318302e-05,0.007909923791885376,0.0015865644672885537,0.001949183875694871,54.20294361943015
pair_00012,evaluation,34.377747889705354,34.36426414868897,0.01348374101638683,0.97867573322218,0.9786601770371406,1.5556185039455883e-05,0.008651413023471832,0.0015845968155190349,0.0019498929614201188,54.19978455305529
pair_00013,evaluation,37.57831830211737,37.442506040966286,0.1358122611510808,0.997452803407071,0.9973859870803514,6.681632671956539e-05,0.01498141884803772,0.001602507196366787,0.001976900966838002,54.08030177454306
pair_00014,evaluation,28.101616292929616,28.08411690916106,0.017499383768555532,0.9779486931813904,0.9779106225026603,3.8070678730184326e-05,0.029589295387268066,0.0016862847842276096,0.0021363545674830675,53.40653288436705
pair_00015,evaluation,25.325632937083693,25.319666879497372,0.005966057586320517,0.9453939880483001,0.9454483283262778,-5.434027797768248e-05,0.043432772159576416,0.0016840655589476228,0.0021032539661973715,53.542165731252084
pair_00016,evaluation,37.250843209289705,37.01053974133215,0.24030346795755264,0.9986147196265782,0.9985452107122263,6.95089143518679e-05,0.0405389666557312,0.0018279589712619781,0.002412579022347927,52.350369193266665
pair_00017,evaluation,33.29387659238393,33.121193889352966,0.172682703030965,0.9969015730668705,0.9967914343743233,0.00011013869254727915,0.04039597511291504,0.002178112044930458,0.0029837507754564285,50.504748966579754
pair_00018,evaluation,37.50872861943314,37.38532365639361,0.1234049630395333,0.9970962526695692,0.9970299483891684,6.63042804008862e-05,0.011459797620773315,0.0015967603540048003,0.001965098548680544,54.132313437421004
pair_00019,evaluation,33.681991611599514,33.6100896908237,0.07190192077581514,0.9933687151716902,0.9932908077886539,7.790738303636857e-05,0.023059487342834473,0.0016277958638966084,0.0020192984957247972,53.89598974533059
pair_00020,evaluation,28.47249011019006,28.448254427935375,0.024235682254683866,0.9765604749923943,0.9764976520585581,6.282293383619297e-05,0.04285430908203125,0.0016872693086043,0.0021337983198463917,53.41693235577984
