precision,returncode,engine_path,engine_exists,log_path,times_path,gpu_compute_mean_ms,gpu_compute_p50_ms,h2d_mean_ms,d2h_mean_ms,latency_mean_ms
fp32,0,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\dncnn_sidd_tiny_fp32_trt108.plan,True,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\week3_trtexec_fp32.log,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\week3_trtexec_fp32_times.json,1.968276,1.350620,1.986498,2.162849,6.117623
fp16,0,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\dncnn_sidd_tiny_fp16_trt108.plan,True,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\week3_trtexec_fp16.log,C:\Users\10439\Desktop\route\stage4_deploy_isp\outputs\week3_backend\week3_trtexec_fp16_times.json,0.978545,0.574463,2.004306,2.323427,5.306278
