id,backend,active_providers,max_abs_error_vs_ort_cpu,mean_abs_error_vs_ort_cpu,psnr_vs_ort_cpu,quality_psnr,quality_psnr_drop_vs_ort_cpu,quality_ssim,quality_ssim_drop_vs_ort_cpu,latency_mean_ms,latency_p50_ms,latency_p90_ms
pair_00001,cuda,CUDAExecutionProvider;CPUExecutionProvider,3.5762786865234375e-07,2.858590697485397e-08,80.0,25.728542356920094,0.0,0.9334773030658645,1.3158740763685728e-10,16.041260003112257,15.242399997077882,19.516019988805056
pair_00001,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003718435764312744,5.000285818823613e-05,80.0,25.72801296141276,0.0005293955073355505,0.9334690815279756,8.221669476338178e-06,9.070799988694489,8.685700013302267,10.011719958856702
pair_00001,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0014242231845855713,0.00014723486674483865,74.49908344276388,25.72828143249803,0.0002609244220650453,0.9334709639756639,6.339221788054239e-06,8.00004000775516,8.364600013010204,9.014820028096437
pair_00002,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.7881393432617188e-07,2.0958312418883907e-08,80.0,39.18957963504158,0.0,0.9989796025967533,-2.1356805213201824e-11,15.730959991924465,16.17610000539571,18.11295999214053
pair_00002,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0005285143852233887,5.7745830417843536e-05,80.0,39.18740680414149,0.0021728309000934587,0.9989792553689376,3.4720645891717083e-07,8.870560000650585,8.893000078387558,10.010679974220693
pair_00002,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0010080933570861816,0.0001483056548750028,74.44956125478458,39.182688986194066,0.006890648847516445,0.9989781318249267,1.4707504698563412e-06,7.69423998426646,7.032299996353686,9.097679960541427
pair_00003,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.7881393432617188e-07,2.1546449957554614e-08,80.0,36.22938850247281,0.0,0.9980267798396874,-7.68130004047407e-11,10.576659999787807,9.939800016582012,11.637819954194129
pair_00003,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0005022287368774414,6.206343095982447e-05,80.0,36.226195359701535,0.0031931427712734717,0.9980258914741699,8.882887044814325e-07,8.099619974382222,8.304599905386567,8.836039993911982
pair_00003,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0009094476699829102,0.0001498083001933992,74.40388954158215,36.225278921531185,0.004109580941623392,0.9980253832393199,1.3965235544644017e-06,7.96270000282675,6.907599978148937,9.9984000204131
pair_00004,cuda,CUDAExecutionProvider;CPUExecutionProvider,2.384185791015625e-07,2.355718997648637e-08,80.0,31.84196051358558,0.0,0.9945146069485825,-1.0543221851122553e-10,10.385579988360405,10.41129999794066,11.561300000175834
pair_00004,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0004901289939880371,6.728847802150995e-05,80.0,31.840551789839566,0.0014087237460138624,0.9945135312107929,1.0756323574057092e-06,6.875160033814609,6.769899977371097,7.3069000616669655
pair_00004,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0010056495666503906,0.00015692961460445076,74.03735740191104,31.84077038824958,0.0011901253359987152,0.9945136584459047,9.483972456258982e-07,6.7969199968501925,6.602399982511997,7.487920019775629
pair_00005,cuda,CUDAExecutionProvider;CPUExecutionProvider,3.5762786865234375e-07,2.854177161282223e-08,80.0,25.625835616496467,0.0,0.9794243687011148,2.0056289962155915e-11,11.936919996514916,11.373199988156557,15.070180012844503
pair_00005,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0004487037658691406,6.711044261464849e-05,80.0,25.62543270225674,0.0004029142397250496,0.9794217593127399,2.6094084312200394e-06,7.976539991796017,7.755299913696945,8.688620035536587
pair_00005,trt_fp16,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0014694929122924805,0.00017499213572591543,73.10469015416437,25.625553831114097,0.0002817853823700034,0.9794221256881194,2.2430330517408947e-06,7.371720019727945,7.41690001450479,7.643980043940246
pair_00006,cuda,CUDAExecutionProvider;CPUExecutionProvider,1.341104507446289e-07,1.9197246459157213e-08,80.0,35.534698330471606,0.0,0.995901933568631,1.327211673896045e-10,10.578339989297092,9.659699979238212,12.485760007984936
pair_00006,trt_fp32,TensorrtExecutionProvider;CUDAExecutionProvider;CPUExecutionProvider,0.0003756880760192871,4.660470222006552e-05,80.0,35.53279463502832,0.0019036954432891662,0.9958998639920776,2.0697092745214363e-06,7.508579990826547,7.285000057891011,8.044859976507723
