method,psnr,residual_std,edge_gradient_mean,max_abs_vs_direct
noisy,27.26984214782715,0.04329695552587509,0.0501415878534317,
gaussian_r2_sigma1.1,31.279794692993164,0.02728252485394478,0.010092748329043388,
bilateral_r2_ss1.5_sr0.06,32.54505920410156,0.023573337122797966,0.02322767861187458,
bilateral_r3_ss2.2_sr0.12,37.84267044067383,0.012788843363523483,0.011495893821120262,
bilateral_lut512,32.545555114746094,0.023571979254484177,0.023226233199238777,1.1146068572998047e-05
nlm_48x48_patch1_search3,39.975921630859375,0.009999680332839489,0.006168380379676819,runtime_ms=942.09
