id,stage3_node,stage3_wall_ms,stage3_max_abs_vs_input,ppm_quantization_max_abs,stage4_cpp_infer_mean_ms,stage4_cpp_vs_python_max_abs,stage4_cpp_vs_python_mean_abs,input_psnr,bridge_output_psnr
pair_00001,none+global_reinhard+gamma1,30.561699997633696,0.3843473792076111,0.0019607841968536377,159.566,0.0,0.0,18.158533819659514,21.000978621824274
pair_00002,none+global_reinhard+gamma1,32.52579993568361,0.4404236674308777,0.0019608139991760254,154.543,0.0,0.0,35.06469005382522,13.70360201177855
pair_00003,none+global_reinhard+gamma1,24.65799986384809,0.43810248374938965,0.0019608139991760254,147.56,0.0,0.0,29.612310508524903,13.761045689425966
pair_00004,none+global_reinhard+gamma1,24.67729989439249,0.4517158269882202,0.0019608139991760254,148.332,0.0,0.0,24.41527548155208,13.731211430846479
pair_00005,none+global_reinhard+gamma1,27.075299993157387,0.48091983795166016,0.0019608139991760254,150.793,0.0,0.0,18.7706438662222,13.666530305562489
pair_00006,none+global_reinhard+gamma1,25.76939994469285,0.281860888004303,0.0019607841968536377,152.942,0.0,0.0,30.410614962370566,20.144194705502997
pair_00007,none+global_reinhard+gamma1,26.161600137129426,0.1812877655029297,0.0019607841968536377,151.1,0.0,0.0,28.16793966222209,24.458913873315808
pair_00008,none+global_reinhard+gamma1,28.293099952861667,0.07760560512542725,0.001960769295692444,150.249,0.0,0.0,26.934371418537353,32.08532934284282
pair_00009,none+global_reinhard+gamma1,25.57659987360239,0.47369247674942017,0.0019608139991760254,149.87,0.0,0.0,29.91684499866102,14.205893005908262
pair_00010,none+global_reinhard+gamma1,26.09359985217452,0.3342220187187195,0.0019607841968536377,156.595,0.0,0.0,28.119636104001845,18.977635328391866
pair_00011,none+global_reinhard+gamma1,25.259799789637327,0.20060977339744568,0.0019607841968536377,149.917,0.0,0.0,28.162951636833537,23.644104498179818
pair_00012,none+global_reinhard+gamma1,26.73280006274581,0.10451099276542664,0.001960769295692444,152.325,0.0,0.0,27.44356920534518,29.83237827589803
pair_00013,none+global_reinhard+gamma1,24.598099989816546,0.34995245933532715,0.001960769295692444,152.231,0.0,0.0,31.212983822122865,21.903456417568457
pair_00014,none+global_reinhard+gamma1,23.693399969488382,0.4115385413169861,0.0019608139991760254,150.246,0.0,0.0,20.86248087468777,21.074020309932664
pair_00015,none+global_reinhard+gamma1,27.211899869143963,0.4055866003036499,0.0019608139991760254,148.423,0.0,0.0,18.14795360403419,21.326870737486495
pair_00016,none+global_reinhard+gamma1,26.85989998281002,0.4848541021347046,0.001960769295692444,153.183,0.0,0.0,31.09299950144688,16.156235757259687
pair_00017,none+global_reinhard+gamma1,25.021800072863698,0.49521881341934204,0.0019607841968536377,150.197,0.0,0.0,26.30146244325491,14.95146647756562
pair_00018,none+global_reinhard+gamma1,27.32179989106953,0.32557857036590576,0.001960769295692444,154.45,0.0,0.0,31.46960621595187,21.579379161106047
pair_00019,none+global_reinhard+gamma1,24.96459987014532,0.3617941737174988,0.0019607841968536377,153.571,0.0,0.0,26.214804301657523,21.33050809878018
pair_00020,none+global_reinhard+gamma1,24.624499958008528,0.41798996925354004,0.0019607841968536377,150.134,0.0,0.0,20.894158292441354,21.028602578689593
