id,name,noisy_psnr,noisy_ssim,model_psnr,model_ssim,psnr_gain,ssim_gain,model_max_abs_error,model_mean_abs_error,noisy_max_abs_error,noisy_mean_abs_error
pair_00001,pair_00001.png,18.15853407211659,0.7180890260488347,25.728542735082804,0.9334773032201729,7.570008662966213,0.21538827717133813,0.4508814215660095,0.0404759906232357,0.6078431606292725,0.09797278791666031
pair_00002,pair_00002.png,35.06469018629064,0.9973786252662648,39.18957963504158,0.9989796025528597,4.124889448750942,0.001600977286594918,0.13482984900474548,0.008234761655330658,0.20000000298023224,0.0119424844160676
pair_00003,pair_00003.png,29.61231033154157,0.9909348994898238,36.22938850247281,0.998026779787842,6.61707817093124,0.007091880298018216,0.21176470816135406,0.011430668644607067,0.29019609093666077,0.022312456741929054
pair_00004,pair_00004.png,24.415275436462444,0.9705524070908887,31.84196051358558,0.9945146069536744,7.426685077123135,0.023962199862785694,0.2852279841899872,0.019192751497030258,0.46666666865348816,0.043443601578474045
pair_00005,pair_00005.png,18.770643732675197,0.9096112235937263,25.625835616496467,0.9794243688110752,6.85519188382127,0.06981314521734894,0.48331937193870544,0.03940451890230179,0.886274516582489,0.08860546350479126
pair_00006,pair_00006.png,30.410614580616276,0.986982564781748,35.534698782540175,0.9959019336136986,5.1240842019239,0.008919368831950658,0.17313042283058167,0.012454175390303135,0.2549019753932953,0.021918905898928642
pair_00007,pair_00007.png,28.167939891753157,0.9621138732700157,34.26753329982857,0.9902907141759515,6.099593408075414,0.02817684090593575,0.17961597442626953,0.014910672791302204,0.32156863808631897,0.029407352209091187
pair_00008,pair_00008.png,26.93437164237927,0.8235840987427793,34.101825086214895,0.9604757827233233,7.167453443835626,0.13689168398054408,0.17096129059791565,0.015347602777183056,0.24313725531101227,0.03268464282155037
pair_00009,pair_00009.png,29.916845008128178,0.993227318551617,33.78443716953121,0.997159766236844,3.8675921614030315,0.003932447685226936,0.2238038182258606,0.015078898519277573,0.30980393290519714,0.021906094625592232
pair_00010,pair_00010.png,28.119636018622206,0.9808839498737703,33.53390923932478,0.9943376207218044,5.414273220702572,0.013453670848034172,0.21380764245986938,0.01594546250998974,0.29019609093666077,0.028929665684700012
pair_00011,pair_00011.png,28.162951813874887,0.9657863326539318,34.248384310544694,0.9912246995049547,6.085432496669807,0.025438366851022964,0.17197641730308533,0.01492246612906456,0.3450980484485626,0.02938489057123661
pair_00012,pair_00012.png,27.443568698915772,0.9035927467176595,34.37774858239594,0.9786757332977247,6.934179883480166,0.07508298658006518,0.158357635140419,0.014842708595097065,0.3137255012989044,0.031247764825820923
pair_00013,pair_00013.png,31.212983811967735,0.989136340662456,37.57831830211737,0.9974528034532015,6.365334490149632,0.008316462790745494,0.11314252763986588,0.01004631444811821,0.27843138575553894,0.019241008907556534
pair_00014,pair_00014.png,20.862480532705042,0.8957779003167169,28.101616292929616,0.9779486930880409,7.239135760224574,0.082170792771324,0.3027679920196533,0.030446073040366173,0.45490196347236633,0.07067373394966125
pair_00015,pair_00015.png,18.147953540184748,0.7749164157376084,25.325632937083693,0.94539398791843,7.177679396898945,0.1704775721808216,0.36732304096221924,0.04234441742300987,0.6313725709915161,0.10079777240753174
pair_00016,pair_00016.png,31.09299904370088,0.9943326310594842,37.250843209289705,0.9986147196407259,6.157844165588827,0.004282088581241683,0.1674262136220932,0.010332048870623112,0.2823529541492462,0.01779288612306118
pair_00017,pair_00017.png,26.301462546186784,0.9847958156507615,33.29387659238393,0.9969015731340113,6.992414046197148,0.012105757483249824,0.2297595590353012,0.015893297269940376,0.3607843220233917,0.031143521890044212
pair_00018,pair_00018.png,31.469606319371934,0.988528750856489,37.50872933164199,0.9970962527241031,6.039123012270053,0.008567501867614125,0.12885326147079468,0.010126271285116673,0.250980406999588,0.018541738390922546
pair_00019,pair_00019.png,26.21480430275053,0.9643736857345849,33.681991611599514,0.9933687152731874,7.467187308848985,0.028995029538602446,0.18936556577682495,0.01592492125928402,0.37254902720451355,0.03603527322411537
pair_00020,pair_00020.png,20.89415817582845,0.8820010340656443,28.47249011019006,0.9765604751467379,7.578331934361607,0.0945594410810936,0.27967026829719543,0.029277225956320763,0.49803921580314636,0.07045630365610123
