id,preprocess_ms,inference_ms,postprocess_ms,save_ms,end_to_end_ms
pair_00001,122.1978000830859,116.32260004989803,10.212699882686138,45.54300010204315,294.2761001177132
pair_00002,25.01450013369322,103.60280005261302,7.917999988421798,35.392999881878495,171.92830005660653
pair_00003,15.517400112003088,82.35789998434484,7.989599835127592,32.60080004110932,138.46569997258484
pair_00004,11.45130000077188,93.03319989703596,8.380400016903877,40.45660002157092,153.32149993628263
pair_00005,8.185100043192506,101.06989997439086,8.946900023147464,61.89209991134703,180.09399995207787
pair_00006,12.567499885335565,82.21320016309619,9.670399827882648,35.50360002554953,139.95469990186393
pair_00007,12.78909994289279,82.88670005276799,9.046799968928099,35.30960017815232,140.0322001427412
pair_00008,13.18780006840825,84.808100014925,7.623200071975589,46.195299830287695,151.81439998559654
pair_00009,16.43499988131225,105.03530013374984,9.865700034424663,30.97279998473823,162.308800034225
pair_00010,9.273800067603588,76.54949999414384,6.3293999992311,32.570499926805496,124.72319998778403
pair_00011,12.407200178131461,86.8792999535799,8.373299846425653,30.15990019775927,137.8197001758963
pair_00012,13.09470017440617,82.35939987935126,8.798900060355663,31.3510000705719,135.604000184685
pair_00013,10.950400028377771,83.23840005323291,6.201900076121092,30.634199967607856,131.02490012533963
pair_00014,14.68120003119111,73.80999997258186,6.351799936965108,42.152300011366606,136.9952999521047
pair_00015,17.959400080144405,72.75069993920624,8.023400092497468,36.96459997445345,135.69810008630157
pair_00016,11.73549983650446,81.82490011677146,7.45110004208982,34.63390003889799,135.64540003426373
pair_00017,17.613900126889348,90.73000005446374,7.901199860498309,40.138900047168136,156.38400008901954
pair_00018,17.44180009700358,91.82419977150857,8.801500080153346,33.51769992150366,151.58519987016916
pair_00019,12.172200018540025,77.43699988350272,5.850600078701973,33.48840004764497,128.9482000283897
pair_00020,14.314200030639768,81.36760001070797,6.903700064867735,56.897199945524335,159.4827000517398
