method,mean_luma,p95_luma,clip_fraction,edge_band_std
global,0.15301470458507538,0.36323973536491394,0.0,0.14288237690925598
ltm_box,0.1534595489501953,0.36529359221458435,0.0,0.14282575249671936
ltm_bilateral,0.15302537381649017,0.3633021116256714,0.0,0.14302654564380646
