id,mean_ms,std_ms,p50_ms,p90_ms
pair_00001,90.8343099988997,9.48275706149728,88.65930000320077,104.40382997039706
pair_00002,92.6745449542068,13.619082018890692,88.945799972862,110.33929996192457
pair_00003,100.24964001495391,15.25146408189735,99.5145000051707,107.04175995197149
pair_00004,99.71511997282505,14.524918606379961,95.4510000301525,118.45265990123153
pair_00005,89.15231499122456,10.209287073589833,88.7997499667108,99.25121997948737
pair_00006,103.44596497016028,21.235090123070233,98.70859992224723,132.4853899423033
pair_00007,94.72590001532808,11.813596221132913,92.42010011803359,109.3788999831304
pair_00008,85.34234503749758,8.538549627406255,82.18390005640686,95.75962002854796
pair_00009,92.12677499745041,10.211276651676963,91.262900037691,103.7895700428635
pair_00010,101.37013497296721,12.467261590421218,97.57075004745275,116.22908001299949
pair_00011,94.48604002827778,16.10006585752919,90.51765012554824,114.22162007074803
pair_00012,85.01692502759397,9.760888463926715,81.38560014776886,100.17543009016663
pair_00013,97.02871002955362,18.16420939162735,94.17290007695556,121.32560999598356
pair_00014,95.59025998460129,12.98268977823475,93.00135006196797,109.46326008997858
pair_00015,93.8322749803774,18.89572542596549,88.90044991858304,113.5328499833122
pair_00016,85.79899502219632,9.51393465413316,83.76910001970828,97.6692301221192
pair_00017,88.82529498077929,8.247694001197443,88.47199997399002,98.71777996886522
pair_00018,94.19441499048844,9.146783610130267,95.15594993717968,101.72528997063638
pair_00019,91.8927300022915,12.451172623515038,89.97335005551577,104.62932011578233
pair_00020,89.24301501829177,20.99904704001649,82.7852999791503,104.50434011872862
