scene_group,method,sample_count,mean_input_psnr,std_input_psnr,mean_output_psnr,std_output_psnr,mean_psnr_gain,std_psnr_gain,mean_output_ssim,std_output_ssim,mean_noise_rmse_reduction,std_noise_rmse_reduction,mean_texture_retention,std_texture_retention,mean_edge_loss,std_edge_loss,mean_color_bias,std_color_bias,failure_count,failure_rate
sidd_device_G4,dncnn_ort_fp32,2,28.697230927506794,2.3957685272276024,35.251802349142466,1.9691270613289866,6.554571421635675,0.42664146589861573,0.8468682169914246,0.056725502014160156,0.0204258868470788,0.006312833167612553,1.4239972024866367,0.11833569986906556,0.0,0.0,0.003576240153051913,0.0009935962734743953,2,1.0
sidd_device_G4,no_denoise,2,28.697230927506794,2.3957685272276024,28.697230927506794,2.3957685272276024,0.0,0.0,0.6344863474369049,0.09086284041404724,0.0,0.0,2.453692440203186,0.39873010149588994,0.0,0.0,0.0032592572970315814,0.0011114297667518258,2,1.0
sidd_device_G4,stage1_bilateral,2,28.697230927506794,2.3957685272276024,32.11099672411254,3.3257418485163015,3.4137657966057446,0.9299733212886991,0.7809479832649231,0.08970296382904053,0.011506253853440285,0.0005333367735147476,1.3702526799575314,0.2299187520218654,0.0,0.0,0.0029044534894637764,0.0010959662613458931,1,0.5
sidd_device_IP,dncnn_ort_fp32,2,27.803260369194785,0.35969121259824277,34.2987533039536,0.0639989669904466,6.495492934758818,0.4236901795886894,0.7663432955741882,0.011955738067626953,0.02147912047803402,0.0018288977444171906,1.0361682535320442,0.1577805163084533,0.06080613138820451,0.06080613138820451,0.004519508220255375,0.0005504325963556767,0,0.0
sidd_device_IP,no_denoise,2,27.803260369194785,0.35969121259824277,27.803260369194785,0.35969121259824277,0.0,0.0,0.42552798986434937,0.030054062604904175,0.0,0.0,3.4234490584601063,0.6181218169078853,0.0,0.0,0.003435808001086116,0.0003982400521636009,2,1.0
sidd_device_IP,stage1_bilateral,2,27.803260369194785,0.35969121259824277,31.06403406046712,0.49777060083712144,3.260773691272334,0.13807938823887866,0.6222325563430786,0.027644991874694824,0.012734890915453434,8.268002420663834e-05,1.5774857144730803,0.2767384153898049,0.0,0.0,0.003072129678912461,0.00018795684445649385,2,1.0
sidd_device_N6,dncnn_ort_fp32,3,23.407806053201053,5.6292547783459606,30.322902493264014,5.23205794879181,6.915096440062967,0.41180235285973044,0.5869831740856171,0.23352391520381227,0.045003910859425865,0.023016443497325664,1.223114589395921,0.1851746738170942,0.0,0.0,0.0038629307334000864,0.0015080641211640295,1,0.3333333333333333
sidd_device_N6,no_denoise,3,23.407806053201053,5.6292547783459606,23.407806053201053,5.6292547783459606,0.0,0.0,0.32951343059539795,0.2508500360732005,0.0,0.0,3.742259129237919,1.0056772053329472,0.0,0.0,0.009783913808253905,0.006548706213687147,3,1.0
sidd_device_N6,stage1_bilateral,3,23.407806053201053,5.6292547783459606,25.406793984903675,7.506785780107486,1.9989879317026233,1.883984836052523,0.40854886670907337,0.3214282183580605,0.008828912551204363,0.0021743190422248114,2.835807400253295,1.2535251230018227,0.0,0.0,0.009815585411464175,0.006761083239856183,2,0.6666666666666666
sidd_device_S6,dncnn_ort_fp32,3,26.192856225334058,4.317436433711279,33.20486588377792,3.6924685521214182,7.0120096584438585,0.711816393247703,0.7382701436678568,0.16509226669159138,0.03133136716981729,0.016145640401097176,1.3734971417235773,0.14584401508914532,0.0,0.0,0.002823275552752117,0.00094576716326122,2,0.6666666666666666
sidd_device_S6,no_denoise,3,26.192856225334058,4.317436433711279,26.192856225334058,4.317436433711279,0.0,0.0,0.4352007210254669,0.2101291486935516,0.0,0.0,3.7732900631091866,0.9529007200663134,0.0,0.0,0.005434805294498801,0.004116747893930771,3,1.0
sidd_device_S6,stage1_bilateral,3,26.192856225334058,4.317436433711279,28.89552116767454,5.791906828566537,2.7026649423404834,1.4755804060316502,0.5633354236682256,0.263497694618585,0.010953928654392561,0.001414142202188958,2.433198796698868,1.095697344433613,0.0,0.0,0.005217880941927433,0.004202671675780977,2,0.6666666666666666
