sample_id,source_scene,scene_group,source_device,iso,method,input_path,output_path,reference_path,split,precision,latency_ms,latency_scope,model_size_mb,status,boundary,input_psnr,output_psnr,psnr_gain,output_ssim,noise_rmse_reduction,texture_retention,edge_loss,color_bias,failure_type
pair_00017,0123_006_G4_00400_00160_3200_N,sidd_device_G4,G4,400,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00017.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00017_ort_output.png,datasets/sidd_tiny/val/clean/pair_00017.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",26.301462400279192,33.28267528781348,6.981212887534291,0.7901427149772644,0.026738720014691353,1.5423329023557022,0.0,0.004569836426526308,excess_high_frequency
pair_00018,0125_006_S6_00100_00050_4400_L,sidd_device_S6,S6,100,no_denoise,datasets/sidd_tiny/val/noisy/pair_00018.png,datasets/sidd_tiny/val/noisy/pair_00018.png,datasets/sidd_tiny/val/clean/pair_00018.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,31.46960617686181,31.46960617686181,0.0,0.6984994411468506,0.0,2.46969750776917,0.0,0.001181736821308732,excess_high_frequency
pair_00018,0125_006_S6_00100_00050_4400_L,sidd_device_S6,S6,100,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00018.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00018_bilateral.png,datasets/sidd_tiny/val/clean/pair_00018.png,evaluation,float32_cpu,3.895300,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,31.46960617686181,36.021055301673385,4.551449124811576,0.8715987205505371,0.010889960452914238,1.1458969299171486,0.0,0.0009111969266086817,acceptable
pair_00018,0125_006_S6_00100_00050_4400_L,sidd_device_S6,S6,100,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00018.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00018_ort_output.png,datasets/sidd_tiny/val/clean/pair_00018.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",31.46960617686181,37.47735489680419,6.007748719942377,0.9127505421638489,0.013330493122339249,1.1714066176361206,0.0,0.0015816801460459828,acceptable
pair_00019,0126_006_S6_00400_00200_4400_L,sidd_device_S6,S6,400,no_denoise,datasets/sidd_tiny/val/noisy/pair_00019.png,datasets/sidd_tiny/val/noisy/pair_00019.png,datasets/sidd_tiny/val/clean/pair_00019.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,26.21480425636753,26.21480425636753,0.0,0.42286911606788635,0.0,4.12925782507979,0.0,0.004118233919143677,excess_high_frequency
pair_00019,0126_006_S6_00400_00200_4400_L,sidd_device_S6,S6,400,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00019.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00019_bilateral.png,datasets/sidd_tiny/val/clean/pair_00019.png,evaluation,float32_cpu,4.729000,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,26.21480425636753,28.83123227626898,2.616428019901452,0.5905235409736633,0.01271698996424675,2.329876214003962,0.0,0.003823966486379504,excess_high_frequency
pair_00019,0126_006_S6_00400_00200_4400_L,sidd_device_S6,S6,400,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00019.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00019_ort_output.png,datasets/sidd_tiny/val/clean/pair_00019.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",26.21480425636753,33.66878757152734,7.45398331515981,0.7853825688362122,0.02816632203757763,1.510253468740603,0.0,0.0030133251566439867,excess_high_frequency
pair_00020,0127_006_S6_01600_00800_4400_L,sidd_device_S6,S6,1600,no_denoise,datasets/sidd_tiny/val/noisy/pair_00020.png,datasets/sidd_tiny/val/noisy/pair_00020.png,datasets/sidd_tiny/val/clean/pair_00020.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,20.89415824277284,20.89415824277284,0.0,0.18423360586166382,0.0,4.720914856478599,0.0,0.011004445143043995,excess_high_frequency
pair_00020,0127_006_S6_01600_00800_4400_L,sidd_device_S6,S6,1600,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00020.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00020_bilateral.png,datasets/sidd_tiny/val/clean/pair_00020.png,evaluation,float32_cpu,4.107700,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,20.89415824277284,21.83427592508126,0.9401176823084221,0.22788400948047638,0.009254835546016693,3.823823246175494,0.0,0.010918479412794113,excess_high_frequency
pair_00020,0127_006_S6_01600_00800_4400_L,sidd_device_S6,S6,1600,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00020.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00020_ort_output.png,datasets/sidd_tiny/val/clean/pair_00020.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",20.89415824277284,28.468455183002227,7.574296940229388,0.5166773200035095,0.05249728634953499,1.4388313387940086,0.0,0.0038748213555663824,excess_high_frequency
