method,psnr,residual_std,edge_gradient_mean
noisy_pg,28.297561645507812,0.03846341371536255,0.043399687856435776
box_r1,32.933319091796875,0.022548547014594078,0.010421669110655785
gaussian_r2_sigma1.1,33.52776336669922,0.02105559967458248,0.007415354251861572
