method,mean_luma,p95_luma,clip_fraction,shadow_mean,shadow_std,midtone_mean,midtone_std,highlight_mean,highlight_std
linear clipped,0.19424517452716827,0.570708692073822,0.012858072916666666,0.167929545044899,0.01708471029996872,0.14786002039909363,0.013902575708925724,0.7547825574874878,0.15223188698291779
reinhard rgb,0.1495143622159958,0.358967125415802,0.0,0.14200034737586975,0.012231387197971344,0.12836341559886932,0.010580882430076599,0.4309934973716736,0.06142290681600571
reinhard luma,0.1518857330083847,0.3633446991443634,0.0,0.14360074698925018,0.01252695545554161,0.12868569791316986,0.010563652031123638,0.4358018934726715,0.06156125292181969
filmic luma,0.07042177766561508,0.19279436767101288,0.0,0.06275677680969238,0.006140802521258593,0.05551329255104065,0.005051976069808006,0.25126224756240845,0.0509706474840641
s-curve luma,0.10032173991203308,0.6429039239883423,0.01513671875,0.04989238083362579,0.008757061325013638,0.04015612602233887,0.006150389555841684,0.8062798976898193,0.13077430427074432
